Komoditas;Tahun;Bulan;Harga
GKP Tingkat Penggilingan (Rp/Kg);2020;April;Rp5.294
Beras Medium Tk. Penggilingan (Rp/Kg);2020;April;Rp9.185
Beras Premium Tk. Penggilingan (Rp/Kg);2020;April;Rp10.347
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;April;Rp3.851
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;April;Rp6.794
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;April;Rp17.381
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;April;Rp19.931
Bawang Merah Tk. Petani (Rp/Kg);2020;April;Rp25.338
Sapi Hidup (Rp/kg Berat Hidup);2020;April;Rp47.848
Ayam Ras (Rp/Ekor Hidup);2020;April;Rp16.502
Telur Ayam Ras (Rp/Kg);2020;April;Rp20.776
GKP Tingkat Petani (Rp/Kg);2020;Mei;Rp4.501
GKP Tingkat Penggilingan (Rp/Kg);2020;Mei;Rp4.717
GKG Tingkat Penggilingan (Rp/Kg);2020;Mei;Rp5.268
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Mei;Rp9.122
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Mei;Rp10.279
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Mei;Rp3.850
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Mei;Rp6.806
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Mei;Rp21.820
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Mei;Rp21.730
Bawang Merah Tk. Petani (Rp/Kg);2020;Mei;Rp22.655
Sapi Hidup (Rp/kg Berat Hidup);2020;Mei;Rp48.666
Ayam Ras (Rp/Ekor Hidup);2020;Mei;Rp18.661
Telur Ayam Ras (Rp/Kg);2020;Mei;Rp19.454
GKP Tingkat Petani (Rp/Kg);2020;Juni;Rp4.545
GKP Tingkat Penggilingan (Rp/Kg);2020;Juni;Rp4.770
GKG Tingkat Penggilingan (Rp/Kg);2020;Juni;Rp5.439
Beras Medium Tk. Penggilingan (Rp/Kg);2020;Juni;Rp9.267
Beras Premium Tk. Penggilingan (Rp/Kg);2020;Juni;Rp10.377
Jagung Pipilan Kering Tk. Petani (Rp/Kg);2020;Juni;Rp3.563
Kedelai Biji Kering Tk. Petani (Rp/Kg);2020;Juni;Rp6.682
Cabai Merah Keriting Tk.Petani (rp/Kg);2020;Juni;Rp12.562
Cabai Rawit Merah Tk. Petani (Rp/Kg);2020;Juni;Rp17.803
Bawang Merah Tk. Petani (Rp/Kg);2020;Juni;Rp31.836
